a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
romance,[rE5mAns7rEu-],"n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构", 
romantic,[rE5mAntik],"adj.传奇式的,浪漫的,空想的,夸大的", 
romanticism,[rE5mAntisizEm],"n.浪漫精神,浪漫主义", 
roster,[5rEustE],"n.(军队等的)值勤人,名簿,花名册,逐项登记表",不要和rooster（公鸡）相混 
rot,[rCt],"v.(使)腐烂,(使)腐败;n.腐烂,腐败",来自希腊神话中的爱神Eros(厄洛斯) 
rotary,[5rEutEri],adj.旋转的,rot（转）＋ary→转的*同根词：rotation（旋转） 
rotate,[rEu5teit],v.(使)旋转, 
rotation,[rEu5teiFEn],n.旋转, 
rotten,[5rCtn],"adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的", 
rough,[rQf],"adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的;v.大体描述;adv.粗糙地",over（过份）＋wrought（兴奋的，精神的） 
roughly,[5rQfli],"adv.概略地,粗糙地", 
roulette,[ru(:)5let],"n.轮盘赌,点线机,转迹线,刻骑缝孔的齿轮", 
route,[ru:t],"n.路线,路程,通道;v.发送", 
routine,[ru:5ti:n],"n.例行公事,常规,日常事务,程序", 
row,[rau],"n.排,行;v.划(船)",brow＝sprout（嫩叶）＋se→吃嫩叶 
royal,[5rCiEl],"adj.王室的,皇家的,第一流的,高贵的",royal（王室的）＋ty→皇室。注意“版税”一义 
rub,[rQb],"v.擦,摩擦;rt.(～along)和谐相处,(～off)擦掉,擦破,(～out)把(记号,笔记,笔迹等)擦掉",rubber（橡胶）＋y 
rubber,[5rQbE],"n.橡皮,橡胶",rubber（橡胶）＋y 
rubbish,[5rQbiF],"n.垃圾,废物,废话", 
rude,[ru:d],"adj.粗鲁的,无礼的,猛烈的,残暴的,粗鲁无礼的",crud（粗糙）＋e→未提炼的 
rudely,[],"adv.粗暴地,无礼地", 
rudeness,[],"n.粗蛮,无礼", 
rudimentary,[ru:di5mentEri],"adj.根本的,未发展的",rudi（无知的，粗鲁的）＋ment＋ary→无知状态→初步的*同根词：erudite（深奥的） 
rudiments,[],n初步；入门, 
ruffle,[v.滋扰],, 
rug,[rQg],"n.(小)地毯,垫子", 
rugged,[5rQgid],"adj.高低不平的,崎岖的,粗糙的,有皱纹的", 
ruin,[ruin;5ru:in],"v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹", 
ruinous,[5ruinEs75ru:i-],"adj.破坏性的,招致毁灭的", 
rule,[ru:l],"n.规则,惯例,统治,章程,破折号,准则,标准,控制;vt.规定,统治,支配,裁决;vi.统治,管辖,裁定;n.规则,水线",over（在…上）＋rule（统治） 
ruler,[5ru:lE],"n.统治者,管理者,尺,直尺;n.标尺,划线板,划线的人", 
ruling,[5ru:liN],"adj.统治的,支配的,主导的,流行的,占统治地位的;n.统治,支配,裁决,划线", 
rumble,[5rQmbl],"v.隆隆声,辘辘行驶,低沉地说;n.隆隆声,辘辘声,吵嚷声", 
rumbling,[5rQmb(E)liN],"n.隆隆声,辘辘声", 
ruminate,[5ru:mineit],"v.反刍,沉思", 
rumour,[5ru:mE],"n.[亦作rumor]谣言,传闻;v.谣传", 
rumpus,[5rQmpEs],"n.喧闹,吵闹", 
rupture,[5rQptFE(r)],"v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂",rupt（断）＋ure→断裂*同根词：erupt（喷发），corrupt（腐败的） 
rural,[5ruEr(E)l],"adj.乡下的,田园的,乡村风味的,生活在农村的",rur（乡村）＋al*同根词：ruralize（使农村化），rurality（农村景色） 
rush,[rQF],"n.匆促,冲进,急流,灯芯草;vi.冲,奔,闯,赶紧,涌现;vt.使冲,匆忙地做,突袭,飞跃,用灯芯草做;adj.急需的", 
rust,[rQst],n.铁锈;vt.(使)生锈,crust（壳）＋acean（…类的）→甲壳类的（动物）*参考：crusty（有外壳的，顽固的） 
rustle,[5rQs(E)l],"n.沙沙声,飒飒声;vi.发出沙沙声,奋力工作,急速移动;vt.使沙沙响",rustle（沙沙声，急忙）＋r→急忙把牛赶走→偷牛贼。rustle可能来自rush（匆忙）＋hustle（快做） 
ruthless,[5ru:Wlis],"adj.无情的,残忍的", 
ruthlessly,[],"adv.冷酷地,残忍地", 
rye,[rai],"n.裸麦,黑麦,绅士,吉普赛绅士", 
sabbatical,[sE5bAtik(E)l],"adj.安息日的,似安息日的,周期性休息的", 
sabotage,[5sAbEtB:V7-tidV],"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏;vi.从事破坏活动;vt.对...采取破坏行动,妨害,破坏",sabot（木鞋）＋age，原指将木鞋扔进机器进行破坏． 
sack,[sAk],"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫;vt.解雇,装入袋,洗劫,就寝",组合词：haver（燕麦）＋sack（袋）。 
sacred,[5seikrid],"adj.神的,宗教的,庄严的,神圣的", 
sacrifice,[5sAkrifais],"n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉", 
safari,[sE5fB:ri],"n.旅行,狩猎远征,旅行队,旅行队(狩猎远征队)及装备",来自阿拉伯语，safar（回历２月），safari指该时间开始的游猎活动 
safe,[seif],"n.保险箱,饭橱,菜橱,冷藏室;adj.免受攻击的,安全的,可靠的,有把握的",组合词：safe（安全的）＋guard（保卫） 
safeguard,[5seif7gB:d],"vt.维护,保护,捍卫;n.安全装置,安全措施",组合词：safe（安全的）＋guard（保卫） 
safely,[`seifli],"adv.安全地,确实地", 
safety,[5seifti],"n.安全,保险,安全设备,保险装置", 
saga,[5sB:gE],n.传奇,注意不要和sage（智慧的）相混． 
sagacious,[sE5geiFEs],"adj.有洞察力的,有远见的,精明的,敏锐的",sag（敏锐）＋acious→敏锐的，聪明的 
sage,[seidV],"adj.贤明的,明智的,审慎的;n.贤人,圣人,年高望重的人",en+vis(看)+age→进入看的状态→正视*同根词:envision(想象，展望) 
sail,[seil],"v.航行(于);vi.启航,开船;n.帆,篷,航行",as＋sail（跳上去）→跳上去打→猛攻。也可用联想：assail（帆）：扬帆起航向前攻。 
salad,[5sAlEd],n.色拉, 
salary,[5sAlEri],n.薪水;vt.给...加薪, 
sale,[seil],"n.出售,卖出,贱卖,廉价出售,销路,销售额", 
sales,[],adj.销售的，有关销售的, 
salient,[5seiljEnt],"adj.易见的,显著的,突出的,跳跃的;n.凸角,突出部分",sal（跳）＋ient→跳起来→突出的 
sallow,[5sAlEu],adj.菜色;v.变成菜色, 
sally,[5sAli],"n.突围,(感情等)迸发,俏皮话,远足;v.突围,出发", 
salon,[5sAlC:N],n.沙龙, 
saloon,[sE5lu:n],"n.大会客室,公共大厅,酒吧间", 
salt,[sC:lt],"n.食盐,风趣,刺激;adj.含盐的,咸的,风趣的,辛辣的;vt.加盐于,用盐腌", 
salty,[5sC:lti],"adj.有盐分的,咸味浓的", 
salubrious,[sE5lju:briEs],adj.有益健康的,salubr（健康）＋ious→健康的→有益健康的 
salutation,[sAlju(:)5teiFEn],n.招呼,salut（健康）＋ation→（祝人）健康→致敬 
salute,[sE5lu:t7-5lju:t],"n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼;v.行礼致敬,敬礼", 
salvage,[5sAlvidV],"n.抢救财货,获救的财货,救难的奖金,海上救助,抢救,打捞;vt.海上救助,抢救,打捞,营救",salv（救）＋age→抢救*同根词：salvable（可抢救的） 
sample,[5sAmpl],"n.标本,样品,例子;vt.取样,采样,抽取...的样品,试验的一部分,尝试",sample（样子）＋er→做为样子的东西*同根词：example（榜样），sampling（取样，样品） 
sanctuary,[5sANktjuEri],n.避难所,sanct（神圣）＋uary（地方）→圣堂 
sandstorm,[5sAndstC:m],"n.[气]沙暴,沙漠地带的暴风沙", 
sandwich,[5sAnwidV7-tF],"n.夹心面包,三明治;vt.夹入中间;v.做成三明治", 
sane,[sein],adj.健全的, 
sanitation,[sAni5teiFEn],"n.卫生,卫生设施", 
sanity,[5sAniti],n.心智健全,in（不）＋sane（清醒的）→头脑不清醒的 
sapphire,[5sAfaiE],n.兰宝石, 
sarcasm,[5sB:kAzEm],"n.挖苦,讽刺",sarc（肌肉）＋asm（可能来自spasm痉挛）→使肌肉痉挛的→讽剌*同根词：sarcophagous（食肉的） 
sarcastic,[sB:5kAstik],adj.讽刺的, 
sardine,[sB:5di:n],n.[鱼]沙丁鱼, 
satellite,[5sAtElait],n.人造卫星, 
satire,[5sAtaiE],"n.讽刺文学,讽刺",可能来自sat（满足）＋tire（拉长）→不断地（讽剌）而满足 
satirical,[sE5tirik(E)l],"adj.好讽刺的,爱挖苦人的", 
satirist,[5sAtirist],n.讽刺作家, 
satirize,[5sAtiraiz],v.讽刺性描写, 
satisfaction,[7sAtis5fAkFEn],"n.满意,满足,令人满意的事物", 
satisfactory,[7sAtis5fAktEri],"adj.满意的,赎罪的", 
satisfied,[`sAtisfaid],adj.感到满意的, 
satisfy,[5sAtisfai],"vt.满足,使满意,说服,使相信;v.满意,确保", 
satisfying,[5sAtisfaiiN],"adj.令人满足的,令人满意的", 
saturate,[5sAtFEreit],"v.使饱和,浸透,使充满", 
saturated,[5sAtFEreitid],"adj.渗透的,饱和的,深颜色的", 
saturation,[7sAtFE5reiFEn],"n.饱和(状态),浸润,浸透;饱和度", 
sauce,[sC:s],"n.沙司,酱油,调味料;vt.调味,使增加趣味", 
saucepan,[5sC:spEn;(uF)-pAn],"n.长柄而有盖子的深锅,炖锅", 
saucer,[5sC:sE],"n.茶托,碟子,茶碟", 
sauna,[5saunE75sC:nE],"n.桑拿浴,蒸汽浴", 
saunter,[5sC:ntE],"n.vi.闲逛,漫步",分割*记忆：s看作see，aunt（姑姑）＋er看姑姑→闲逛而去 
sausage,[5sCsidV],"n.香肠,腊肠", 
savage,[5sAvidV],"adj.野蛮的,未开化的,凶猛的,残忍的;vt.用暴力对付;n.原始的人,粗鲁的人",sav（树木，森林）＋age→森林状态→野蛮的 
savagery,[5sAvidVEri],n.野性, 
savant,[5sAvEnt],n.专家,sav（＝sap智慧）＋ant→有智慧之人，大学士 
save,[seiv],"vt.解救,保存,保全,保留,节省,储蓄;vi.挽救,节省,救球;prep.除...之外;n.救球", 
savings,[5seiviNz],储蓄, 
saviour,[5seivjE],"n.[亦作savior]救星,[TheSaviour]救世主,耶稣基督", 
savour,[5seivE],n.风味;v.品尝, 
savoury,[5seivEri],"adj.开胃的,香喷喷的,风味极佳的,可口的,味香的;n.开胃的菜肴", 
saw,[sC:],n.锯;v.锯;vbl.see的过去式, 
scad,[skAd],"n.[鱼]竹荚鱼,<美口>许多",cas（落下）＋cade（落下）→一再落下→瀑布*同根词：casual（偶然的） 
scaffolding,[5skAfEldiN],n.脚手架, 
scale,[skeil],"n.刻度,衡量,比例,数值范围,比例尺,天平,等级;vt.依比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量", 
scalp,[skAlp],v.剥头皮;n.头皮, 
scalpel,[5skAlpEl],n.解剖刀,分割*记忆：scalp（头皮）＋el 
scamper,[5skAmpE],v.奔跳;n.奔跑,来自scamp（强盗）＋er强盗抢了东西就跑 
scan,[skAn],"v.细看,审视,浏览,扫描;n.扫描", 
scandal,[5skAndl],"n.丑行,丑闻,诽谤,耻辱,流言蜚语", 
scandalous,[5skAndElEs],adj.诽谤性的, 
scanner,[5skAnE],n.扫描器;扫描仪, 
scanty,[5skAnti],"adj.缺乏的,不足的,稀疏的,俭省的,不充足的", 
scapegoat,[5skeipgEut],n.替罪羊, 
scar,[skB:],"n.伤痕,疤痕;v.结疤,使留下伤痕,创伤",来自scare（惊恐）＋d→惊恐的，注意不要和scarce（缺乏的，罕见的）相混． 
scarce,[skZEs],"adj.缺乏的,不足的,稀有的,不充足的", 
scarcely,[5skZEsli],"adv.几乎不,简直没有", 
scarcity,[5skZEsiti],"n.缺乏,不足", 
scarcity,[5skZEsiti],"n.缺乏,不足", 
scare,[skZE],"v.惊吓,受惊,威吓;n.惊恐,恐慌,恐惧",来自scare（惊恐）＋d→惊恐的，注意不要和scarce（缺乏的，罕见的）相混． 
scarf,[skB:f],"n.围巾,头巾领巾,嵌接,嵌接处,切口;v.围(围巾),披(头巾)嵌接", 
scarlet,[5skB:lit],"n.猩红色,鲜红色布;adj.猩红的,鲜红的,深红的", 
scary,[5skZEri],adj.引起惊慌的, 
scathing,[5skeiTiN],adj.严厉的, 
scatter,[5skAtE],"v.分散,散开,撒开,驱散", 
scenario,[si5nB:riEu],"n.想定;游戏的关,或是某一特定情节",scen（＝scene场景）＋ario→剧情梗概 
scene,[si:n],"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置", 
scenery,[5si:nEri],"n.风景,景色", 
scenic,[5si:nik],"adj.舞台的,布景的,景色优美的,戏剧性的;n.风景照片,风景影片", 
scent,[sent],"n.气味,香味,香水,线索,嗅觉,臭迹;vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味;vi.嗅猎,发出气味",ac＋quiesce（安静）→保持安静→默认*同根词：quiescent（不动的，静止的） 
sceptic,[5skeptik],n.怀疑论者,通常写作skeptical，scept（怀疑）＋ical．*同根词：sceptism（怀疑主义），sceptic（怀疑者） 
sceptical,[5skeptikEl],"adj.怀疑论的,怀疑的",通常写作skeptical，scept（怀疑）＋ical．*同根词：sceptism（怀疑主义），sceptic（怀疑者） 
scepticism,[],"n.怀疑论,怀疑主义", 
schedule,[5Fedju:l;5skedVjul],"n.时间表,进度表;v.确定时间", 
schematic,[ski5mAtik],adj.示意性的,来自schema（图表，纲要）＋tic→纲要的 
scheme,[ski:m],"n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划",注意不要和schema相混，尤其作为“阴谋”一意 
scholar,[5skClE],n.学者, 
scholarly,[5skClEli],"adj.学者气质的,学者风度的", 
scholarship,[5skClEFip],"n.奖学金,学问,学识", 
scholastic,[skE5lAstik],"adj.学校的,学校教育的,学者的,学究的,经院的或经院哲学家的;n.经院哲学家,学究,墨守成规者,学生", 
science,[5saiEns],"n.科学,自然科学,理科", 
scientific,[saiEn5tifik],adj.科学的, 
scientist,[5saiEntist],n.科学家, 
scintillate,[5sintileit],"v.发出火花,闪耀光芒",scintill（火花）＋ate→闪火花、闪烁 
scion,[5saiEn],"n.幼芽,子孙", 
scissors,[5sizEz],n.剪刀, 
scissors,[5sizEz],n.剪刀, 
scoff,[skCf],"n.嘲笑,嘲弄的话,嘲弄的对象,愚弄,笑柄,食品;v.轻蔑地说,嘲笑,嘲弄,贪吃,狼吞虎咽", 
scold,[skEuld],"v.责骂,申斥,斥责", 
scolding,[5skEuldiN],"n.责骂,叱责", 
scope,[skEup],"n.(活动)范围,机会,余地", 
scorch,[skC:tF],"v.烧焦,枯萎;n.烧焦,焦痕,枯黄", 
score,[skC:7skCE],"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分",score作为“分数、得分”大家都很熟悉 
scorn,[skC:n],"n.轻蔑,嘲笑,被叱责的人;vt.轻蔑,不屑做", 
scornful,[5skC:nful],adj.轻蔑的, 
scornfully,[],"adv.轻蔑地,藐视地", 
scotch,[skCtF],浅刻,苏格兰Scotch和scotch拼写一致 
scout,[skaut],"n.侦察,搜索,侦察员,侦察机;vi.守候,侦察,巡视,嘲笑;vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)", 
scramble,[5skrAmbl],"n.爬行,攀缘,抢夺,混乱;vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙;vt.攀登,搅乱,使混杂",分割*记忆：scr看作scale（攀登）＋amble（快走） 
scrap,[skrAp],"n.小片,废料,剪下来的图片,文章,残余物,废料,打架;vt.扔弃,敲碎,拆毁;vi.互相殴打;adj.零碎的,废弃的",和scrape（刮、擦）一起*记 
scrape,[skreip],"n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成", 
scratch,[skrAtF],"n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的", 
scrawl,[skrC:l],"vt.乱涂,潦草地写;vi.乱写;n.潦草的笔迹",s＋crawl（爬）→乱爬→乱写 
scream,[skri:m],"v.尖声叫,尖声喊叫;n.尖叫声,喊叫声", 
screech,[skri:tF],"n.尖声喊叫,尖叫声,急煞车声;vt.尖着声音讲或喊;vi.发出尖锐的声音,发出恐惧或痛苦的叫喊声", 
screed,[skri:d],"n.冗长的句子(文章),样板,泥水匠用的匀泥尺,刮板",可能来自speech（讲话）和creed（信条）的缩合． 
screen,[skri:n],"n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影", 
screw,[skru:],"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧",组合词：screw（螺钉）＋driver． 
screwdriver,[5skru:draivE],n.螺丝起子,组合词：screw（螺钉）＋driver． 
screwy,[5skru:i],"adj.螺旋形的,扭曲的,怪僻的,疯疯癫癫的", 
scribble,[5skribl],"n.潦草的写法,潦草写成的东西,杂文;v.潦草地写,乱写,滥写",来自scrib（写）＋ble→潦草乱写 
scrimmage,[5skrimidV],"n.混战,并列争球;vt.并列争球;vi.混战", 
script,[skript],"n.手稿,手迹,剧本,考生的笔试卷,原本",con＋script（写）→把（名字）写入名单→征兵*同根词：prescription（处方） 
scriptwriter,[],n.编剧, 
scrub,[skrQb],"v.洗擦,擦净,使(气体)净化,擦洗;n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物);adj.次等的,矮小的,临时凑合的", 
scrupulous,[5skru:pjulEs],"adj.小心谨慎的,细心的", 
scrutinize,[5skrutinaiz],细察,scrutin（检查）＋ize→详细检查*同根词：scrutable（可辩认的），scrutiny（精读） 
scrutiny,[5skru:tini],n.详细审查, 
sculptor,[`skQlptE(r)],n.雕刻家, 
sculpture,[5skQlptFE],"n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀", 
scurf,[skE:f],"n.头屑,皮屑", 
scurrilous,[5skQrilEs],"adj.说话粗鄙恶劣的,使用低级粗俗语言的,嘴损的,下流的",scurril（下流）＋ous→下流的．可以和scurry（急奔）一起*记 
scuttle,[5skQtl],"n.天窗,舱室小孔,煤桶,急速逃走;vi.急促地跑,急忙撤退;vt.凿沉,毁坏,毁坏", 
sea,[si:],"n.海洋,大浪,大量,许多", 
seafood,[5si:fu:d],"n.海产食品,海味", 
seagull,[5si:gQl],n.海鸥, 
seal,[si:l],"n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮", 
seam,[si:m],"n.接缝,线缝,缝合线,衔接口,伤疤,层;vt.缝合,接合,焊合,使留下伤痕;vi.裂开,发生裂痕",和seal（密封）一起*记（sealtheseam，封住裂缝） 
seamstress,[5semstris],"n.女裁缝师,做针线工的", 
seaport,[5si:pC:t],"n.海港,港口都市", 
search,[sE:tF],"n.搜寻,查究;v.搜索,搜寻,探求,调查", 
seashore,[5si:FC:],"n.海岸,海滨", 
seaside,[5si:said],"n.海滨(胜地),滨海城镇,海边;adj.海边的,海滨的", 
season,[5si:zn],"n.季,季节;v.(使)适应,(使)适用,调味", 
seasonal,[5si:zEnl],"adj.季节的,季节性的,周期性的", 
seasoning,[5si:zniN],"n.调味品,调料", 
secede,[si5si:d],"vi.正式脱离或退出,分离",se（分开）＋cede（走）→走开，脱离 
seclude,[si5klu:d],v.隔离,se（分开）＋clude（关闭）→分开关闭→隔绝，隐居 
secluded,[si5klu:did],"adj.隐退的,隐蔽的", 
seclusion,[si5klu:VEn],n.隔离, 
secondary,[5sekEndEri],"adj.次要的,二级的,中级的,第二的", 
secrecy,[5si:krisi],"n.秘密,保密", 
secret,[5si:krit],"n.秘密,秘诀,奥秘;adj.秘密的,隐秘的,幽静的、",来自secretary（秘书）＋ial→秘书的 
secretariat,[7sekrE5tZEriEt],"n.秘书处,书记处,秘书(书记,部长等)的职位", 
secretary,[5sekrEtri],"n.秘书,书记,部长,大臣", 
secrete,[si5kri:t],"vt.隐秘,隐藏,隐匿,[生理]分泌",来自secret（秘密的）＋e 
secretive,[si5kri:tiv],"adj.秘密的,偷偷摸摸的,[生理]分泌的，促进分沁的", 
sectarian,[sek5tZEriEn],n.宗派主义者, 
section,[5sekFEn],"n.部分,断片,部件,节,项,区,地域,截面","inter＋sect（切,割)→从中间切→横截*同根词:dissect（解剖），section（部分） "
sector,[5sektE],"n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形", 
secure,[si5kjuE],"adj.安全的,可靠的,放心的,无虑的;v.保护", 
security,[si5kjuEriti],n.安全, 
sedate,[si5deit],"adj.安静的,稳重的;v.给...服镇静剂",sed（＝sid坐）＋ate→坐下来的→安静的 
sedentary,[5sedEntEri],"adj.久坐的,坐惯的,土生的,不移栖的,沉积的;n.惯于久坐的人",sed（坐）＋entary→久坐的 
sedition,[si5diFEn],"n.煽动暴乱,骚乱,煽动性的言论(或行为)",sed（＝se分开）＋it（走）＋ion→分开走→煽动*同根词：itinerate（巡回） 
seductive,[si5dQktiv],adj.诱人的, 
sedulous,[5sedjulEs],adj.坚韧不拔的,sed（坐）＋ulous（多……的）→坐得多的→勤勉的 
seek,[si:k],"v.寻找,探索,寻求", 
seep,[si:p],"v.渗出,渗漏",*参考*记忆：peep（偷看） 
segment,[5segmEnt],"n.段,节,片断;v.分割",seg（＝sect部分）＋ment→部分*参考：segmentable（可分割的），segmental（部分的、片断的） 
segregate,[5segrigeit],v.隔离, 
segregation,[7segri5geiFEn],n.种族隔离, 
seismic,[5saizmik],adj.[地]地震的,seism（地震）＋ic→地震的*同根词：seismograph（地震仪），seismology（地震学） 
seize,[si:z],"v.抓住,逮住,夺取;vt.没收,查封", 
seldom,[5seldEm],"adv.很少,不常", 
select,[si5lekt],"vt.选择,挑选;adj.精选的", 
selection,[si5lekFEn],"n.选择,挑选,选集,精选品", 
selective,[si5lektiv],"adj.选择的,选择性的", 
self,[self],"n.自己,自我,本性,本质,本人,私心;vt.使近亲繁殖,[植]使自花授精;vi.[植]自花授精;adj.同一的",其它self组词：selfcomsuming（自耗的）．selfcontained（有自制力的）selfcontent（自满的） 
self-assured,[selfE5FuEd;(uF)-5FuErd],adj.有自信的, 
self-catering,[],adj.自给的，自己提供食物的, 
self-confidence,[self5kCnfid(E)ns],n.自信, 
self-confidence,[self5kCnfid(E)ns],n.自信, 
self-control,[5selfkEn5trEul],"n.克己,自制", 
self-discipline,[5self5disiplin],"n.自我训练,自我修养,自律,自我约束", 
self-employed,[5selfim5plCid],adj.自己经营的, 
self-esteem,[5selfis5ti:m],"n.自尊,自负,自大,自尊心", 
self-indulgence,[5selfin5dQldVEns],"n.放纵,任性", 
self-indulgent,[selfin5dQldV(E)nt],"adj.放纵的,任性的", 
self-reliance,[5selfri5lains],"n.自恃,倚靠自己", 
self-reliant,[selfri5laiEnt],"adj.自恃的,独断独行的", 
self-respect,[5selfris5pekt],"n.自尊,自重", 
self-sacrifice,[5self5sAkrifais],"n.自我牺牲,献身", 
selfish,[5selfiF],adj.自私的, 
selfless,[5selflis],adj.无私的, 
semantic,[si5mAntik],adj.[语]语义的, 
semaphore,[5semEfC:],n.旗语, 
semblance,[5semblEns],"n.外表,伪装",re（再次）＋sembl（相似）＋ance→一个和另一个相像→相似*同根词：assemble（集合），dissemble（掩盖） 
seminar,[5seminB:],"n.研究会,讨论发表会",semin（种子）＋ary→培养（上帝）种子的地方→神学院．*参考：seminar（研究班） 
seminary,[5seminEri],"n.神学院,学校,学院,发源地",semin（种子）＋ary→培养（上帝）种子的地方→神学院．*参考：seminar（研究班） 
senile,[5si:nail],"adj.老年的,高龄的,衰老的",sen（老）＋ile→老的 
senior,[5si:njE],"adj.年长的,资格较老的,地位较高的,高级的", 
sensation,[sen5seiFEn],"n.感觉,感情,感动,耸人听闻的",sens（感觉）＋ation→感觉，知觉*同根词：sensible（明智的），sensitive（敏感的） 
sensational,[sen5seiFEnEl],"adj.使人感动的,非常好的", 
sense,[sens],"n.官能,感觉,判断力,见识,...感,意义,理性;vt.感到,理解,认识", 
sensibility,[7sensi5biliti],n.敏感性, 
sensible,[5sensEbl],"adj.有感觉的,明智的,有判断力的", 
sensitive,[5sensitiv],"adj.敏感的,灵敏的,感光的",hyper（过份）＋sensitive（敏感的） 
sensor,[5sensE],n.传感器, 
sentence,[5sentEns],"n.句子,判决,宣判,文句;vt.宜判,判决", 
sententious,[sen5tenFEs],"adj.简洁的,警句的,富于格言的,很多(过分)说教式的",sentence（句子）＋ious→一个句子说完→简要的 
sentiment,[5sentimEnt],"n.情操,情感,情绪,观点,多愁善感,感情", 
sentimental,[7senti5mentl],"adj.感伤性的,感情脆弱的", 
sentry,[5sentri],n.岗哨,sent（感觉）＋ry→感觉者→哨兵 
separable,[5sepErEbl],"adj.可分离的,可分的", 
separate,[5sepEreit],"adj.分开的,分离的,个别的,单独的;v.分开,隔离,分散,分别", 
separation,[sepE5reiFEn],"n.分离,分开", 
sequel,[5si:kwEl],n.结局, 
sequence,[5si:kwEns],"n.次序,顺序,序列", 
sequential,[si5kwinFEl],"adj.连续的,相续的,有继的,有顺序的,结果的",con＋sequ（跟随）ential→跟随而来的→产生后果的*同根词：obsequious（拍马屁的） 
sequestrate,[si5kwestreit],"vt.扣押,没收", 
serenade,[7seri5neid],n.小夜曲;v.唱小夜曲,seren（安静）＋ade→夜曲*同根词：serene（安祥的、宁静的） 
serene,[si5ri:n],adj.平静的, 
serenity,[si5reniti],n.平静, 
serfdom,[5sE:fdEm],"n.农奴身份,农奴境遇", 
serial,[5siEriEl],adj.连续的, 
series,[5siEri:z],"n.连续,系列,丛书,级数", 
serious,[5siEriEs],"adj.严肃的,认真的,严重的", 
seriously,[5siEriEsli],"adv.认真地,真诚地", 
seriousness,[5siEriEsnis],"n.严肃,认真", 
serve,[sE:v],"v.当仆人,服务,服役,供职,招待,侍候,供应,适合;n.发球","pre（预先）＋serve（保存）*同根词:reserve(保留,储备)，conserve(保存) "
service,[5sE:vis],"n.服务,服务性工作,服役,仪式;vt.保养,维修;adj.(军队)服现役的,服务性的,仆人的,耐用的", 
servile,[5sE:vail],"adj.奴隶的,奴性(态)的,卑屈的",serv（＝slave奴隶）＋ile 
session,[5seFEn],"n.会议,开庭",来自obsess（迷住），ob＋sess（＝sit坐）→坐着不走→迷住 
settle,[5setl],"n.有背的长凳;vt.安放,使定居,安排,解决,决定,整理,支付,使平静;vi.安家,定居,停留,下陷,沉淀,决定,澄清", 
settlement,[5setlmEnt],"n.沉降,解决,结算,殖民,殖民地", 
sever,[5sevE],v.切断,per（全部）＋severe（严重的）→在严重的情况下始终坚持 
severe,[si5viE],"adj.严厉的,严格的,剧烈的,严重的,严峻的", 
sew,[sju:],"v.缝制,缝纫,缝合",和缝纫者（sewer）一样拼写． 
sewage,[5sju(:)idV],"n.下水道,污水;v.用污水灌溉,装下水道于", 
shabby,[5FAbi],"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的", 
shadow,[5FAdEu],"n.阴影,影子,影像,预兆,庇护,隐蔽处,阴暗,少许;vt.遮蔽,使朦胧,预示,尾随;vi.渐变,变阴暗",over（在…上）＋shadow（阴影） 
shady,[5Feidi],"adj.成荫的,多荫的,阴暗的", 
shaft,[FB:ft],"n.轴,杆状物", 
shaggy,[5FAgi],"adj.毛发粗浓杂乱的,蓬松的,表面粗糙的", 
