abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
study,[5stQdi],"n.学习, 研究, 学科, 试作, 论文, 求学, 努力, 书房//vt.学习, 攻读, 研究, 考虑, 计划//vi.学习, 试图"
stuff,[stQf],"n.原料, 材料, 素材资料//vt.塞满, 填满, 填充"
stupid,[5stju:pid],"adj.愚蠢的, 麻木的, 乏味的"
style,[stail],"n.风格, 时尚, 文体, 风度, 类型, 字体//vt.称呼, 设计, 使合潮流//使铁笔作装饰画"
subject,[5sQbdVikt],"n.题目, 主题, 科目, 学科, 国民, [语法]主语//adj.受他国统治的, 未独立的, 受制于...的, 受...影响的, 以...为条件的//vt.使屈从于...,使隶属"
submarine,[5sQbmEri:n; sQbmE5ri:n],"n.潜水艇, 潜艇//adj.水下的, 海底的"
submerge,[sEb5mE:dV],"v.浸没, 淹没, 掩没//vi.潜水"
submit,[sEb5mit],"v.(使)服从, (使)顺从//vt.提交, 递交"
subsequent,[5sQbsikwEnt],"adj.后来的, 并发的"
substance,[5sQbstEns],"n.物质, 实质, 主旨"
substantial,[sEb5stAnFEl],"adj.坚固的, 实质的, 真实的, 充实的"
substitute,[5sQbstitju:t],"n.代用品, 代替者, 替代品//v.代替, 替换, 替代"
subtract,[sEb5trAkt],"v.(～ from)减去, 减"
suburb,[5sQbE:b],"n.市郊, 郊区"
subway,[5sQbwei],"n.地道, <美> 地铁"
succeed,[sEk5si:d],"vi.(～ in) 成功//v.继...之后, 继任, 继承, 取得成功"
success,[sEk5ses],"n.成功, 成就, 胜利, 发迹, 兴旺"
successful,[sEk5sesful],adj.成功的
succession,[sEk5seFEn],"n.连续, 继承, 继任, 演替, [农业] 轮栽, 连续性"
successive,[sEk5sesiv],"adj.继承的, 连续的"
such,[sQtF; sEtF],"adj.这样的, 这种, 某一//pron.这样的人(们)或物"
suck,[sQk],"v.吸, 吮, 吸取"
sudden,[5sQdn],"adj.突然的, 意外的"
suffer,[5sQfE],"vt.遭受, 经历, 忍受//vi.受痛苦, 受损害"
sufficient,[sE5fiFEnt],"adj.充分的, 足够的"
sugar,[5FugE],"n.糖, 食糖"
suggest,[sE5dVest],"vt.建议, 提出, 使想起, 暗示"
suggestion,[sE5dVestFEn],"n.提议, 意见, 暗示, 微量"
suit,[sju:t],"v.合适, 适合, 相配, 合式, 适宜于//n.一套衣服"
suitable,[5sju:tEbl],"adj.适当的, 相配的"
sulfur,[5sQlfE],"n.[化] 硫磺, 硫黄//vt.用硫磺处理"
sulphur,[5sQlfE],n.硫磺
sum,[sQm],"n.总数, 和, 金额, 算术题"
summarize,[5sQmEraiz],"v.概述, 总结, 摘要而言"
summary,[5sQmEri],"n.摘要, 概要"
summer,[5sQmE],"n.夏季//vi.避暑, 过夏天//adj.夏季的, 在夏季的"
sun,[sQn],"n.太阳, 阳光, 恒星//vt.晒//n.(Sun) 星期天(=Sunday)//美国Sun公司，主要生产SUN系列工作站和网络产品, 是JAVA语言的创始者"
Sunday,[5sQndi],n.星期日
sunlight,[5sQnlait],"n.日光, 阳光, 日照"
sunny,[5sQni],"adj.阳光充足的, 照耀的, 快乐的"
sunrise,[5sQnraiz],n.日出
sunset,[5sQnset],"n.日落, 晚年"
sunshine,[5sQnFain],n.阳光
super,[5sju:pE],"n.不重要的角色, 冗员//vt.用冷纱布贴(书背)//vi.充当跑龙套的角色//adj.上等的, 特大的, 特级的, 十分的, 过分的, 极好的//adv.非常"
superficial,[sju:pE5fiFEl],"adj.表面的, 肤浅的, 浅薄的"
superior,[sju:5piEriE],"n.长者, 高手, 上级//adj.较高的, 上级的, 上好的, 出众的, 高傲的"
supermarket,[5sju:pE7mB:kit],n.超级市场
supper,[5sQpE],n.晚餐
supplement,[5sQplimEnt],"n.补遗, 补充, 附录, 增刊//v.补充"
supply,[sE5plai],"n.补给, 供给, 供应品//vt.补给, 供给, 提供, 补充, 代理//vi.替代他人职务"
support,[sE5pC:t],"vt.支撑, 扶持, 支持, 支援, 拥护, 维持, 赡养, 忍受//n.支撑, 支持, 支援, 维持, 赡养, 支持者, 支柱"
suppose,[sE5pEuz],"vt.推想, 假设, 猜想//vi.料想//conj.假使...结果会怎样"
supreme,[sju:5pri:m],"adj.极度的, 极大的, 至高的, 最高的"
sure,[FuE],"adj.对....有把握, 确信某事, 稳当的, 可靠的//adv.的确, 当然"
surface,[5sE:fis],"n.表面, 外表, 水面//adj.表面的, 肤浅的"
surgery,[5sE:dVEri],"n.外科, 外科学, 手术室, 诊疗室"
surprise,[sE5praiz],"n.惊奇, 诧异, 惊人之事, 奇袭//vt.使惊奇, 奇袭//adj.令人惊讶的"
surrender,[sE5rendE],"vt.交出, 放弃, 使投降, 听任//vi.投降, 自首//n.交出, 放弃, 投降//投降算了"
surround,[sE5raund],"vt.包围, 环境//v.围绕"
surroundings,[sE5raundiNz],n.环境
survey,[sE:5vei],"n.测量, 调查, 俯瞰, 概观, 纵览, 视察//vt.调查(收入,民意等) 测量, 勘定, 审视, 视察, 俯瞰, 通盘考虑//vi.测量土地"
survive,[sE5vaiv],"v.幸免于, 幸存, 生还"
suspect,[sEs5pekt],"n.嫌疑犯//adj.令人怀疑的, 不可信的, 可疑的//v.怀疑, 猜想, 对...有所觉察"
suspend,[sEs5pend],"vt.吊, 悬挂//v.延缓"
suspicion,[sEs5piFEn],"n.猜疑, 怀疑"
sustain,[sEs5tein],"vt.支撑, 撑住, 维持, 持续"
swallow,[5swClEu],"n.[鸟]燕子, 吞咽, 喉//vt.咽, 淹没, 吞没, 取消, 忍受, 轻信, 压制, 耗尽//vi.吞下, 咽下"
sway,[swei],"v.摇摆, 摇动"
swear,[swZE],"vi.诅咒//v.宣誓, 发誓"
sweat,[swet],n.汗//v.(使)出汗
sweater,[5swetE],"n.厚运动衫, 毛线衫"
sweep,[swi:p],"v.扫, 打扫, 清扫, 席卷, 冲光, 扫过, 掠过"
sweet,[swi:t],"adj.甜的, 可受的, 美好的, 芳香的//n.糖果"
swell,[swel],"v.(使)膨胀, 增大"
swift,[swift],"n.[鸟]雨燕, (梳棉机等的)大滚筒//adj.迅速的, 快的, 敏捷的, 立刻的//adv.迅速地, 敏捷地"
swim,[swim],"n.游泳, 漂浮, 潮流, 眼花//adj.游泳时穿戴的vi.游泳, 游, 漂浮, 旋转, 覆盖, 充溢, 眩晕, 浸//vt.游过, 使浮起//adj.游泳时穿戴的"
swing,[swiN],"v.摇摆, 摆动, 回转, 旋转//n.秋千, 摇摆, 摆动"
switch,[switF],"n.开关, 电闸, 转换//vt.转换, 转变"
sword,[sC:d],n.剑
symbol,[5simbEl],"n.符号, 记号, 象征"
sympathetic,[7simpE5Wetik],"adj.有同情心的, 合意的, 赞成的//n.[解]交感神经, 容易感受的人"
sympathize,[5simpEWaiz],"vi.同情, 共鸣, 同感, 同意, 吊唁"
sympathy,[5simpEWi],"n.同情, 同情心"
synthetic,[sin5Wetic],"adj.合成的, 人造的, 综合的"
system,[5sistEm],"n.系统, 体系, 制度, 体制, 秩序, 规律, 方法"
table,[5teibl],"n.桌子, 餐桌, 工作台, 平地层, 石板, 表格//adj.桌子的, 台子的//vt.搁置, 嵌合, 制表"
tag,[tAg],"n.标签, 鞋带、绳子等末端的金属物, 垂下物, 附属物, 名称, 标记符, 陈词滥调, 结束语//vt.加标签于, 紧随, 添饰, 起浑名, 连接//vi.紧随"
tail,[teil],"n.尾部, 尾巴, 尾状物, 后部, (常用复数)(硬币)反面辫子, 踪迹, 排的长队, 限定继承权//adj.在后面的, 从后面而来的, 限定继承的, 尾部的, 后面来的, 后部的//vt.为...装尾, 附于其后, 尾随, 跟踪, 使搭牢, 监视, 使架住//vi.成为散乱的行列, 跟踪, 嵌入, 船尾搁浅"
tailor,[5teilE],"n.裁缝//vt.剪裁, 缝制(衣服)～, 适应, 适合//v.制做"
take,[teik],"v.拿, 拿走, 取, 抓, 占领, 获得, 接受, 感受//n.捕获量"
tale,[teil],"n.故事, 坏话, 流言蜚语, 谣言, 叙述, 传说"
talent,[5tAlEnt],"n.天才, 才干, 才能"
talk,[tC:k],"v.谈话, 讲, 谈论, 议论, 说服某人做某事//n.谈话, 会谈, 讲演, 讲话"
tall,[tC:l],"adj.高的, 长的, 夸大的//adv.<俚> 夸大地"
tame,[teim],"adj.(指动物)驯服的、柔顺的, (指人)没精打彩的、顺从的, 被开垦的, 沉闷的, 乏味的, 平淡的//vt.驯养, 驯服, 制服, 使变得平淡//vi.变得驯服"
tank,[tANk],"n.(盛液体, 气体的大容器)桶、箱、罐、槽, 池塘, 坦克, 战车, 柜, 储水池//vt.储于槽中, 击败//vi.大量喝酒"
tap,[tAp],"n.轻打, 活栓, 水龙头//vt.轻打, 轻敲, 敲打出, 开发, 分接, 使流出, 选择, 攻螺纹于//vi.轻叩, 轻拍, 轻声走//n.<美>(用复数)熄灯号"
tape,[teip; tep],"n.带子, 带, 录音带, 磁带//vt.录音"
target,[5tB:git],"n.目标, 对象, 靶子"
task,[tB:sk],"n.任务, 作业//v.分派任务"
taste,[teist],"v.品尝, 辨味, (of)有 ...味道, 领略//vt.体验, 感到//n.味道, 味觉"
tax,[tAks],"n.税, 税款, 税金//vt.对...征税, 使负重担, 指控, 责备"
taxi,[5tAksi],n.出租汽车//v.乘坐出租汽车
tea,[ti:],"n.茶, 茶树, 茶叶, 茶点//vt.给...沏茶//vi.喝茶, 进茶点"
teach,[ti:tF],"v.讲授, 教授"
teacher,[5ti:tFE],n.教师
team,[ti:m],"n.队, 组"
tear,[tiE],"n.破处, 破缝, 泪滴, 眼泪, 扯, 飞奔, 激怒//vi.流泪, 撕破, 猛冲, 飞奔, 被撕破//vt.扯, 撕, 撕破, 戳破, 拉掉, 折磨, 使分裂, 撕掉"
technical,[5teknikEl],"adj.技术的, 技术上的, 技巧方面的"
technician,[tek5niF(E)n],"n.技术员, 技师"
technique,[tek5ni:k],"n.技术, 技巧, 方法, 表演法, 手法"
technology,[tek5nClEdVi],"n.工艺, 科技, 技术"
tedious,[5ti:diEs],"adj.单调乏味的, 沉闷的, 冗长乏味的"
teenager,[5ti:n7eidVE],n.十几岁的青少年
telegram,[5teligrAm],n.电报
telephone,[5telifEun],"n.电话, 电话机//v.打电话"
telescope,[5teliskEup],n.望远镜//v.压缩
television,[5teliviVEn],"n.电视, 电视机, 电机学, 电视广播事业"
tell,[tel],"vt.告诉, 说, 吩咐, 断定, 知道//vi.讲述, 泄密, 告发, 表明, 作证//n.<方>讲的事, 传闻"
temper,[5tempE],"n.(钢等)韧度, 回火, 性情, 脾气, 情绪, 心情, 调剂, 趋向//v.(冶金)回火、锻炼, 调和, 调节"
temperature,[5tempritFE(r)愿? 断定; 知道],n.温度
temple,[5templ],"n.庙, 寺, 神殿, 教堂, 礼拜堂, 太阳穴, 鬓角"
temporary,[5tempErEri],"adj.暂时的, 临时的, 临时性"
tempt,[tempt],"vt.诱惑, 引诱, 吸引, 使感兴趣, 考验, 试探"
temptation,[temp5teiFEn],"n.诱惑, 诱惑物"
ten,[ten],"num.十, 十个"
tend,[tend],"vi.趋向, 往往是//vt.照管, 护理"
tendency,[5tendEnsi],"n.趋向, 倾向"
tender,[5tendE],"adj.嫩的, 温柔的, 软弱的"
tennis,[5tenis],"n.网球运动//adj.网球的, 用于网球运动的//vi.打网球"
tense,[tens],"adj.紧张的, 拉紧的//v.(使)紧张, (使)拉紧//n.[语法]时态"
tension,[5tenFEn],"n.紧张(状态), 不安, 拉紧, 压力, 张力, 牵力, 电压//vt.拉紧, 使紧张"
tent,[tent],n.帐篷
term,[tE:m],"n.学期, 期限, 期间, 条款, 条件, 术语"
terminal,[5tE:minl],"n.终点站, 终端, 接线端//adj.末期, 每期的, 每学期的"
terrible,[5terEbl],"adj.很糟的, 极坏的, 可怕的, 骇人的"
territory,[5teritEri],"n.领土, 版图, 地域"
terror,[5terE],"n.恐怖, 可怕的人, 恐怖时期, 恐怖行动"
test,[test],"n.测试, 试验, 检验//v.测试, 试验, 检验"
text,[tekst],"n.正文, 原文, 课文, 课本"
textbook,[5tekstbuk],"n.教科书, 课本//adj.合乎规范的"
textile,[5tekstail],n.纺织品//adj.纺织的
than,[TAn; TEn; Tn],conj.比//prep.与...相比较
thank,[WANk],"vt.感谢, 用于表示强制的要求, 用将来时"
that,[TAt],"adj.那, 那个//pron.那, 那个//conj.引导从句"
the,[Ti:; Ti; TE; T],art.那
theatre,[],"n.剧场, 戏院, 电影院, 阶梯教室, 手术教室, 手术室, 全体观众, 戏剧"
their,[TZE; TEr],"pron.他们的, 她们的, 它们的"
theirs,[TZEz],"pron.他们的(所有物), 属于他们的(东西)句"
them,[Wem],"pron.[they 的宾格] 他们, 她们, 它们"
themselves,[TEm5selvz],"pron.他们自己, 她们自己, 它们自己, 他们亲自, 她们亲自, 它们亲自"
then,[Ten],"adv.当时, 在那时, 那么, 因而, 然后, 于是"
theoretical,[WiE5retikEl],理论的
theory,[5WiEri],"n.理论, 学说, ...论, 原理, 意见, 推测"
there,[TZE; TE],adv.在那里
thereby,[5TZE5bai],"adv.因此, 从而, 在那方面, 在那附近"
therefore,[5TZEfC:],"adv.因此, 所以"
thermometer,[WE5mCmitE(r)录],"n.温度计, 体温计"
these,[Ti:z],adj.pron.这些
they,[Tei; Te],"pron.他们, 它们"
thick,[Wik],"adj.厚的, 粗的, 稠的, 浓的//n.最拥挤部份, 活动最多部份, 事物的粗大浓密部份"
thickness,[5Wiknis],"n.厚度, 浓度, 稠密, (一)层, 混浊"
thief,[Wi:f],"n.小偷, 贼"
thin,[Win],"adj.薄的, 细的, 瘦的, 稀少的, 稀疏的, (液体、气体)稀薄的, 淡的, 空洞的//vt.使变薄, 使变细, 使稀少, 使淡//vi.变薄, 变细, 稀少, 变淡//adv.薄地, 稀疏地, 微弱地//n.细小部分"
thing,[WiN],"n.东西, 物, 所有物, 用品, 事, 事情, 事件,事态"
think,[WiNk],"v.想, 思索, 认为//vt.认为, 以为, 预料"
third,[WE:d],"num.第三, 三分之一"
thirsty,[5WE:sti],"adj.口渴的, 渴望的, 热望的"
thirteen,[5WE:5ti:n],num.十三
thirty,[5WE:ti],num.三十
this,[Tis],"adj.这, 这个, 今, 本//pron.这, 这个"
thorough,[5WQrE],"adj.十分的, 彻底的"
those,[TEuz],adj.pron.那些
though,[TEu; TE],"adv.虽然, 可是//conj.虽然, 尽管"
thought,[WC:t],"n.思考, 想法, 思想, 思潮, 关心, 关怀, 挂念//vbl.think的过去式和过去分词"
thoughtful,[5WC:tful],"adj.深思的, 有思想性的, 体贴的, 关切的"
thousand,[5WauzEnd],"num.一千, 一千个//n.许多, 无数"
thread,[Wred],"n.线, 细丝, 线索, 思路, 螺纹"
threat,[Wret],"n.恐吓, 凶兆, 威胁"
threaten,[5Wretn],"vt.恐吓, 威胁, 预示(危险), 似有发生或来临的可能, 可能来临"
three,[Wri:],num.三
thrive,[Wraiv],"v.兴旺, 繁荣, 茁壮成长, 旺盛"
throat,[WrEut],"n.咽喉, 喉咙, 嗓音, 窄路, 口子//vt.用喉音说, 开沟于"
through,[Wru:],"prep.穿过, 通过, 从开始到结束, 经由, 以//adv.从头到尾, 自始至终, 直达地, 彻底, 完全//adj.直达的, 直通的"
throughout,[Wru(:)5aut],"prep.遍及, 贯穿//adv.到处, 始终, 全部"
throw,[WrEu],"n.投, 掷//v.扔, 抛, (指马)把骑者摔在地上, 使苦恼, 惊忧, 投掷"
thrust,[WrQst],"n.插, 戳, 刺, 推力, 猛推, 口头攻击//vt.力推, 冲, 插入, 挤进, 刺, 戳, 强加, 延伸//vi.插入, 刺, 戳, 延伸, 强行推进"
thumb,[WQm],"n.拇指//vt.以拇指拨弄, 笨拙处理, 弄坏, 翻阅, 作搭车手势//vi.用拇指翻书页"
thunder,[5WQndE],"n.雷, 雷声, 轰隆声//vi.打雷, 雷鸣"
Thursday,[5WE:zdi],n.星期四
thus,[TQs],"adv.因而, 从而, 这样, 如此"
ticket,[5tikit],"n.票, 入场券"
tide,[taid],"n.潮, 潮汐, 潮流, 趋势"
tidy,[5taidi],"n.椅子的背罩, 装杂碎的容器//adj.整齐的, 整洁的, 精简的//vt.弄整齐, 收拾, 整理//vi.整理, 收拾//adj.<口>可观的、相当大的"
tie,[tai],"n.带子, 线, 鞋带, 不分胜负, 关系, 领带, 领结, 平局//vt.系, 打结, 扎, 约束, 与...成平局//vi.被用带(或绳子等)系住, 结合, 打结, 不分胜负"
tiger,[5taigE],"n.[动]老虎, 虎, 凶暴的人"
tight,[tait],"adj.紧的, 绷紧的, 紧密的, 不漏水(不透气)的, 由压迫产生的, 困难的, 吝啬的, 严厉的//adv.紧紧地"
till,[til],"prep.直到, 在...以前, 迄//conj.在...以前, 直到...为止//vt.耕种//n.(商店)铁柜, 放钱的抽屉, 备用现金, 冰渍"
time,[taim],"n.时间, 时侯, 时机, 节拍, 期限, 次数, 时期, 比赛限时//vt.安排...的时间, 记录...的时间, 计时, 定时//vi.打拍子, (...)合拍//adj.时间的, 记时的, 定时的, 定期的, 分期的//n.DOS命令：显示并允许改变系统时间"
tin,[tin],"n.[化]锡, 马口铁, 罐//vt.涂锡于//adj.锡制的"
tiny,[5taini],"adj.很少的, 微小的"
tip,[tip],"n.顶, 尖端, 梢, 倾斜, 轻击, 末端, 小费, 秘密消息//vt.在...顶端装附加物, 使倾斜, 使翻倒, 暗示, 轻击, 给, 泄露, 给小费//vi.倾斜, 翻倒, 倾覆, 踮脚走, 给小费//n.提示, 技巧"
tire,[5taiE],"n.<口>疲劳, 劳累, 轮胎, 头饰//vt.使疲倦, 使厌烦, 梳理//vi.疲劳, 厌倦"
tired,[5taiEd],"adj.疲劳的, 累的, 疲倦的"
tissue,[5tisju:],"n.薄的纱织品, 薄纸, 棉纸, [生]组织, 连篇"
title,[5taitl],"n.头衔, 名称, 标题, 冠军, 资格, 字幕, 权利, 扉页//vt.赋予头衔, 加标题于//adj.标题的, 用作书名的"
to,[tu:; tE; tu],"prep.向, 往, 给...,于...,直到...为止, 在...之前, 比, 对, [表示程度、范围] 到, 达//[域] Tonga , 汤加"
toast,[tEust],"n.烤面包(片), 吐司面包, 干杯//vt.敬酒, 烤(面包等), 使暖和//vi.烤暖, 烤火, 烘"
tobacco,[tE5bAkEu],"n.烟草, 烟草制品, 抽烟"
today,[tE5dei],"adv.今天, 现今//n.今天, 现今"
toe,[tEu],"n.趾, 脚趾, 足尖//vt.以趾踏触, 用脚尖走//vi.动脚尖//abbr.[军] Tables of Organization and Equipment, 编制及装备表"
together,[tE5geTE],"adv.共同, 一起, 合起来, 集拢地"
toilet,[5tCilit],"n.盥洗室, 梳洗"
tolerance,[5tClErEns],"n.公差, 宽容, 忍受, 容忍, (食物中残存杀虫剂的)(法定)容许量//vt.给(机器部件等)规定公差"
tolerate,[5tClEreit],"vt.忍受, 容忍"
tomato,[tE5mB:tEu; tE5meitEu],"n.番茄, 西红柿"
tomorrow,[tE5mCrEu; tu5mCrEu],"adv.明天见//n.明天, 未来"
ton,[tQn],"n.吨, 大量, 许多"
tone,[tEun],"n.音调, 音质, 语调, 色调, 状况, 品质, 语气, 气氛//vt.调和, 增强, 以特殊腔调说, 配合, 定音调//vi.颜色调和"
tongue,[tQN],"n.舌头, 舌状物, 语言, 说话方式, 口语//vt.舔, 闲谈, 斥责//vi.吹管乐器"
tonight,[tE5nait],"adv.今晚, 今夜//n.今晚"
too,[tu:],"adv.也, 太过份"
tool,[tu:l],"n.工具, 用具, 爪牙, 走狗, 手段//vt.用工具加工, 使用设备//vi.使用工具"
tooth,[tu:W],n.牙齿
top,[tCp],"n.顶部, 顶端, 极点, 顶蓬, 陀螺, (常用复数)根菜植物的叶子, 上部, 盖子//adj.最高的, 顶上的, 头等的//vt.盖, 戴, 高耸, 达到顶端, 截去(植物)顶端, 高过, 超越//vi.结束, 完成, 胜过"
topic,[5tCpik],"n.话题, 主题"
torch,[tC:tF],"n.火把, 启发之物//vi.像火炬一样燃烧//vt.用火炬点燃"
torture,[5tC:tFE],"n.折磨, 痛苦, 拷问, 拷打//vt.拷问, 曲解, 折磨, 使弯曲"
total,[5tEutl],"n.总数, 合计//adj.总的, 全部的, 整个的//v.合计, 总数达, 达到"
touch,[tQtF],"n.触, 触觉, 接触, 联系, 轻触, 碰, 缺点, 格调//vt.接触, 触摸, 触及, 达到, 涉及, 点缀, 使接触, 感动//vi.触摸, 接近, 涉及, 提到"
tough,[tQf],"n.恶棍//adj.强硬的, 艰苦的, 坚强的, 坚韧的, 强壮的, 吃苦耐劳的, 凶恶的, 粗暴的//adv.<口>强硬地, 顽强地//vt.<美口>忍受, 耐, 坚持"
tour,[tuE],"n.旅行, 游历, 旅游//v.旅行, 游历, 巡回, 漫游"
tourist,[5tuErist],"n.旅行者, 旅游者"
towel,[5tauEl; taul],"n.手巾, 毛巾//v.用毛巾擦"
tower,[5tauE],"n.塔, 城堡"
town,[taun],"n.市镇, 城镇"
toy,[tCi],n.玩具
trace,[treis],"n.痕迹, 踪迹, 微量, 迹线, 缰绳//vt.描绘, 映描, 画轮廓, 追踪, 回溯, 探索//vi.上溯, 沿路走"
track,[trAk],"n.轨迹, 车辙, 跟踪, 航迹, 足迹, 路, 磁轨, 途径//vt.循路而行, 追踪, 通过, 用纤拉//vi.追踪, 留下足迹, 走"
tractor,[5trAktE],n.拖拉机
trade,[treid],"n.贸易, 商业, 交易, 生意, 职业, 行业, [气]信风, 顾客//vi.交易, 买卖, 经商, 对换, 购物//vt.用...进行交换"
tradition,[trE5diFEn],"n.传统, 惯例"
traffic,[5trAfik],"n.交通, 通行, 运输, 贸易, 交通量, 交易, 交往, 通信量//vi.交易, 买卖//vt.在...通行, 用...作交换"
tragedy,[5trAdVidi],"n.悲剧, 惨案, 悲惨, 灾难"
trail,[treil],"n.踪迹, 痕迹, 形迹//vt.跟踪, 追踪, 拉, 拖, 拖拉, (指植物)蔓生, 蔓延, (指人)没精打采地走"
train,[trein],"n.火车, 列车, 行列, 后果, 顺序, 长队, 长袍(裙)拖地的部分, 导火线//vt.训练, 培养, 瞄准, (园艺)整枝//vi.锻炼"
training,[5treiniN],"n.训练, 练习//adj.训练的"
transfer,[trAns5fE:],"n.迁移, 移动, 传递, 转移, 调任, 转帐, 过户, 转让//vt.转移, 调转, 调任, 传递, 转让, 改变//vi.转移, 转学, 换车"
transform,[trAns5fC:m],"vt.转换, 改变, 改造, 使...变形//vi.改变, 转化, 变换//n.[数]变换(式), [语]转换"
transformation,[7trAnsfE5meiFEn],"n.变化, 转化, 改适, 改革, 转换"
transformer,[trAns5fC:mE(r); trB:-],"n.[电] 变压器, 使变化的人"
transistor,[trAn5zistE],n.[电子]晶体管
translate,[trAns5leit],"vt.翻译, 解释, 转化, 转变为, 调动//vi.翻译, 能被译出"
translation,[trAns5leiFEn],"n.翻译, 译文, 转化, 调任, 转换[物][数]平移"
transmission,[trAnz5miFEn],"n.播送, 发射, 传动, 传送, 传输, 转播"
transmit,[trAnz5mit],"vt.传输, 转送, 传达, 传导, 发射, 遗传, 传播//vi.发射信号, 发报"
transparent,[trAns5pZErEnt],"adj.透明的, 显然的, 明晰的"
transport,[trAns5pC:t],"n.传送器, 运输, 运输机, 激动, 流放犯, 狂喜//vt.传送, 运输, 流放, 放逐"
transportation,[7trAnspC:5teiFEn],"n.运输, 运送"
trap,[trAp],"n.圈套, 陷阱, 诡计, 活板门, 存水弯, 汽水闸, (双轮)轻便马车//vi.设圈套, 设陷阱//vt.诱捕, 诱骗, 计捉, 设陷, 坑害, 使受限制"
travel,[5trAvl],"v.旅行, 传播//vi.行进, 传播//n.旅行"
tray,[trei],"n.盘, 碟, 盘子"
treasure,[5treVE],"n.财宝, 财富, 珍品, 财产//vt.珍爱, 珍惜, 储藏, 珍藏"
treat,[tri:t],"n.宴请, 款待, 请客//vt.视为, 对待, 论述, 治疗, 款待//vi.交涉, 谈判, 协商, 款待, 作东"
treatment,[5tri:tmEnt],"n.待遇, 对待, 处理, 治疗"
treaty,[5tri:ti],"n.条约, 谈判"
tree,[tri:],"n.树, 木料, 树状物//vt.赶上树//n.[计] 显示驱动器的子目录结构//vi.爬上树, 逃上树"
tremble,[5trembl],"n.战栗, 颤抖//vi.战栗, 发抖, 震动, (树叶等)摇晃.摇动, 焦虑//vt.挥动, 用颤抖的声音说出"
tremendous,[tri5mendEs],"adj.极大的, 巨大的"
trend,[trend],"n.倾向, 趋势//vi.伸向, 倾向, 通向"
trial,[5traiEl],"n.试验, 考验, 审讯, 审判"
triangle,[5traiANgl],"n.[数]三角形, 三人一组, 三角关系"
trick,[trik],"n.诡计, 骗局, 恶作剧, 窍门, 诀窍//vt.欺骗, 哄骗"
trim,[trim],"adj.整齐的, 整洁的//vt.整理, 修整, 装饰"
trip,[trip],"n.(短途)旅行, 绊倒, 摔倒, 失足, 往返, 差错, 支吾, 旅程//vt.使跌倒, 使犯错, 使失败, 挑剔//vi.轻快地走, 摔倒, 绊倒, 失足, 结巴, 远足, 犯错, 旅行"
triumph,[5traiEmf],"n.胜利, 成功//v.获得胜利"
troop,[tru:p],"n.群, 组, 多数, 军队//vi.群集, 结队, 成群而行//vt.把(骑兵)编成骑兵连"
tropical,[5trCpikl],"adj.热带的, 热情的"
trouble,[5trQbl],"n.烦恼, 麻烦, 动乱, 纠纷, 疾病, 故障, 问题//vt.(使)烦恼, 麻烦, 打扰, 麻烦自己, 费神, 费心"
troublesome,[5trQblsEm],"adj.麻烦的, 讨厌的, 棘手的"
trousers,[5trauzEz],"n.裤子, 长裤"
truck,[trQk],"n.卡车, 敞棚货车, (车站)搬行李用的手推车, 交易, 交换, 废话, 废物, 实物工资//vt.交易, 交往, 以卡车运输//vi.驾驶卡车, 以物易物//adj.<主美>运货汽车的"
true,[tru:],"adj.真实的, 真正的, 忠实的, 忠诚的, 正确的"
truly,[5tru:li],"adv.真实地, 不假"
trumpet,[5trQmpit],n.喇叭
trunk,[trQNk],"n.干线, 树干, 躯干, 箱子, 主干, 象鼻//vt.把...放入旅行箱内//adj.树干的, 躯干的, 干线的, 箱形的"
trust,[trQst],"vt.信任, 信赖, 盼望, 希望, 赊卖, 热望, 切望//n.(～ in) 信任, 信赖"
truth,[tru:W],"n.事实, 确实, 真理, 原理"
try,[trai],"n.尝试//v.试, 试图, 努力, 试验, 磨难, 考验, 审问"
tube,[5tju:b],"n.管, 管子, [英] 地铁, <美> 电子管, 显象管"
Tuesday,[5tju:zdi],n.星期二
tune,[tju:n],"n.曲调, 调子, 和谐, 合调//vt.调音, 调整, 拨收, 收听, 知道或察觉他人所说的话或表现的情绪"
tunnel,[5tQnl],"n.隧道, 地道"
turbine,[5tE:bin; -bain],n.涡轮
turn,[tE:n],"n.转动, 旋转, 转变方向, 轮流, 时机, (一)回, 倾向, 癖性//v.(使)转动, 翻转, 扭转, (使)变质, 超过(年龄,数量等), 车(成)晕镆孜?adj.<"
twelfth,[twelfW],num.第十二
twelve,[twelv],num.十二
twentieth,[5twentiiW],"adj.第二十的, 二十分之一的//n.第二十(个), 二十分之一, (月)的第二十日"
twenty,[5twenti],"num.二十, 二十个"
twice,[twais],"adv.两次, 两倍"
twin,[twin],"n.双胞胎中一人, 孪生子//adj.双胞胎的, 一对的, 相似的//vi.生双胞胎, 成对//vt.孪生, 使成对"
twist,[twist],"n.一扭, 扭曲, 盘旋, 曲折, 歪曲, 手法, 螺旋状//vt.拧, 扭曲, 绞, 搓, 捻, 使苦恼, 使转动, 编织//vi.扭弯, 扭曲, 缠绕, 扭动, 呈螺旋形"
two,[tu:],"num.二, 两个"
type,[taip],"n.类型, 典型, 模范, [印刷]活字, 铅字//v.打字, 测定(血等)类型"
typewriter,[5taipraitE],n.打字机
typical,[5tipikEl],"adj.典型的, 象征性的"
typist,[5taipist],n.打字员
